"sk_dosen","nidn","nama_dosen","jabatan_fungsional","status_kepegawaian","sk_prodi","created_date","updated_date"
241,N100240,Dosen 241,Lektor Kepala,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
242,N100241,Dosen 242,Guru Besar,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
243,N100242,Dosen 243,Asisten Ahli,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
244,N100243,Dosen 244,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
245,N100244,Dosen 245,Lektor,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
246,N100245,Dosen 246,Asisten Ahli,Kontrak,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
247,N100246,Dosen 247,Asisten Ahli,Tetap,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
248,N100247,Dosen 248,Asisten Ahli,Kontrak,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
249,N100248,Dosen 249,Lektor Kepala,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
250,N100249,Dosen 250,Lektor,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
251,N100250,Dosen 251,Asisten Ahli,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
252,N100251,Dosen 252,Guru Besar,Kontrak,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
253,N100252,Dosen 253,Asisten Ahli,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
254,N100253,Dosen 254,Asisten Ahli,Kontrak,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
255,N100254,Dosen 255,Lektor Kepala,Kontrak,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
256,N100255,Dosen 256,Lektor Kepala,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
257,N100256,Dosen 257,Lektor,Kontrak,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
258,N100257,Dosen 258,Guru Besar,Kontrak,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
259,N100258,Dosen 259,Lektor Kepala,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
260,N100259,Dosen 260,Asisten Ahli,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
261,N100260,Dosen 261,Lektor,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
262,N100261,Dosen 262,Asisten Ahli,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
263,N100262,Dosen 263,Asisten Ahli,Kontrak,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
264,N100263,Dosen 264,Lektor Kepala,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
265,N100264,Dosen 265,Lektor,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
266,N100265,Dosen 266,Guru Besar,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
267,N100266,Dosen 267,Guru Besar,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
268,N100267,Dosen 268,Lektor Kepala,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
269,N100268,Dosen 269,Lektor Kepala,Kontrak,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
270,N100269,Dosen 270,Lektor,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
271,N100270,Dosen 271,Guru Besar,Kontrak,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
272,N100271,Dosen 272,Guru Besar,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
273,N100272,Dosen 273,Guru Besar,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
274,N100273,Dosen 274,Asisten Ahli,Kontrak,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
275,N100274,Dosen 275,Guru Besar,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
276,N100275,Dosen 276,Asisten Ahli,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
277,N100276,Dosen 277,Lektor,Kontrak,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
278,N100277,Dosen 278,Asisten Ahli,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
279,N100278,Dosen 279,Lektor,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
280,N100279,Dosen 280,Guru Besar,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
281,N100280,Dosen 281,Guru Besar,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
282,N100281,Dosen 282,Lektor,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
283,N100282,Dosen 283,Lektor Kepala,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
284,N100283,Dosen 284,Lektor,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
285,N100284,Dosen 285,Lektor Kepala,Kontrak,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
286,N100285,Dosen 286,Asisten Ahli,Kontrak,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
287,N100286,Dosen 287,Asisten Ahli,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
288,N100287,Dosen 288,Asisten Ahli,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
289,N100288,Dosen 289,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
290,N100289,Dosen 290,Asisten Ahli,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
291,N100290,Dosen 291,Lektor Kepala,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
292,N100291,Dosen 292,Asisten Ahli,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
293,N100292,Dosen 293,Lektor,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
294,N100293,Dosen 294,Lektor,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
295,N100294,Dosen 295,Guru Besar,Kontrak,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
296,N100295,Dosen 296,Lektor,Kontrak,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
297,N100296,Dosen 297,Lektor Kepala,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
298,N100297,Dosen 298,Asisten Ahli,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
299,N100298,Dosen 299,Guru Besar,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
300,N100299,Dosen 300,Asisten Ahli,Kontrak,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
301,N100300,Dosen 301,Asisten Ahli,Kontrak,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
302,N100301,Dosen 302,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
303,N100302,Dosen 303,Lektor,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
304,N100303,Dosen 304,Lektor,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
305,N100304,Dosen 305,Asisten Ahli,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
306,N100305,Dosen 306,Guru Besar,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
307,N100306,Dosen 307,Lektor,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
308,N100307,Dosen 308,Guru Besar,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
309,N100308,Dosen 309,Lektor,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
310,N100309,Dosen 310,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
311,N100310,Dosen 311,Lektor Kepala,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
312,N100311,Dosen 312,Guru Besar,Kontrak,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
313,N100312,Dosen 313,Lektor Kepala,Kontrak,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
314,N100313,Dosen 314,Lektor Kepala,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
315,N100314,Dosen 315,Guru Besar,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
316,N100315,Dosen 316,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
317,N100316,Dosen 317,Asisten Ahli,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
318,N100317,Dosen 318,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
319,N100318,Dosen 319,Lektor,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
320,N100319,Dosen 320,Guru Besar,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
321,N100320,Dosen 321,Asisten Ahli,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
322,N100321,Dosen 322,Guru Besar,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
323,N100322,Dosen 323,Lektor,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
324,N100323,Dosen 324,Lektor,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
325,N100324,Dosen 325,Lektor,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
326,N100325,Dosen 326,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
327,N100326,Dosen 327,Lektor Kepala,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
328,N100327,Dosen 328,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
329,N100328,Dosen 329,Guru Besar,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
330,N100329,Dosen 330,Asisten Ahli,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
331,N100330,Dosen 331,Asisten Ahli,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
332,N100331,Dosen 332,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
333,N100332,Dosen 333,Lektor Kepala,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
334,N100333,Dosen 334,Lektor,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
335,N100334,Dosen 335,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
336,N100335,Dosen 336,Asisten Ahli,Kontrak,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
337,N100336,Dosen 337,Lektor Kepala,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
338,N100337,Dosen 338,Guru Besar,Kontrak,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
339,N100338,Dosen 339,Guru Besar,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
340,N100339,Dosen 340,Lektor Kepala,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
341,N100340,Dosen 341,Guru Besar,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
342,N100341,Dosen 342,Lektor Kepala,Kontrak,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
343,N100342,Dosen 343,Lektor,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
344,N100343,Dosen 344,Lektor Kepala,Kontrak,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
345,N100344,Dosen 345,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
346,N100345,Dosen 346,Lektor Kepala,Kontrak,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
347,N100346,Dosen 347,Guru Besar,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
348,N100347,Dosen 348,Guru Besar,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
349,N100348,Dosen 349,Lektor Kepala,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
350,N100349,Dosen 350,Guru Besar,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
